Pays,Années,HALE_femmes,HALE_hommes,HALE_WMGap
Mexique,2007,66.1965356,64.00132175,2.195213850000002
Mexique,2008,66.01135373,63.51256079,2.498792939999994
Mexique,2009,66.06027715,63.47200779,2.5882693600000053
Mexique,2010,66.0308044,63.26559989,2.7652045099999967
Mexique,2011,66.40828722,63.58837499,2.819912230000007
Mexique,2012,66.5529899,63.81284173,2.7401481699999977
Mexique,2013,66.74185307,64.1199988,2.62185427
Mexique,2014,66.70300974,64.19356631,2.5094434300000046
Mexique,2015,66.77221729,64.23703916,2.5351781300000056
Mexique,2016,66.76312515,64.00698359,2.756141559999989
Mexique,2017,66.93279682,64.01087555,2.9219212699999986
Mexique,2018,67.04200296,63.99103446,3.0509685000000033
Mexique,2019,67.01759328,63.92217391,3.095419370000002
Mexique,2020,63.89111276,59.49853619,4.392576569999996
Mexique,2021,63.51956352,59.4921607,4.027402819999999
Maroc,2000,60.33454825,61.05424214,-0.7196938900000021
Maroc,2001,60.49724051,61.30445137,-0.807210860000005
Maroc,2002,60.5558651,61.6712411,-1.1153760000000048
Maroc,2003,60.67580152,61.7551185,-1.0793169800000015
Maroc,2004,60.780988,61.87762995,-1.0966419499999986
Maroc,2005,60.93500994,62.04494292,-1.1099329799999964
Maroc,2006,61.07385866,62.22373556,-1.1498769000000024
Maroc,2007,61.19463554,62.40475533,-1.2101197900000003
Maroc,2008,61.41655667,62.62607141,-1.209514740000003
Maroc,2009,61.62276737,62.86952274,-1.2467553700000025
Maroc,2010,61.78613444,63.05135044,-1.2652160000000023
Maroc,2011,61.96295588,63.2160696,-1.2531137199999947
Maroc,2012,62.14068525,63.37577523,-1.235089980000005
Maroc,2013,62.31391675,63.52791861,-1.2140018600000033
Maroc,2014,62.45861194,63.65452083,-1.1959088900000054
Maroc,2015,62.59975875,63.75786244,-1.1581036899999972
Maroc,2016,62.74730354,63.86046232,-1.1131587800000062
Maroc,2017,62.86737773,63.96288846,-1.0955107300000009
Maroc,2018,62.91637839,64.04185159,-1.1254731999999947
Maroc,2019,63.04346629,64.1313238,-1.0878575100000063
Maroc,2020,62.08906222,62.67671702,-0.5876547999999957
Maroc,2021,61.84438848,62.8192999,-0.974911419999998
Nigeria,2000,46.96187893,46.31677082,0.6451081099999953
Nigeria,2001,47.28917444,46.74427454,0.5448998999999972
Nigeria,2002,47.72381831,47.22001857,0.503799739999998
Nigeria,2003,48.26217155,47.81233174,0.4498398100000003
Nigeria,2004,48.8260246,48.34319648,0.48282811999999353
Nigeria,2005,49.42969231,49.0016843,0.4280080099999992
Nigeria,2006,50.00572132,49.55294869,0.45277262999999834
Nigeria,2007,50.55775194,50.15342377,0.40432816999999943
Nigeria,2008,51.09274831,50.70272616,0.39002215000000007
Nigeria,2009,51.62370413,51.21538273,0.4083213999999984
Nigeria,2010,52.06666039,51.66279881,0.4038615800000045
Nigeria,2011,52.43033258,52.04008792,0.39024466000000047
Nigeria,2012,52.86179237,52.41008587,0.45170650000000023
Nigeria,2013,53.30546147,52.68930024,0.6161612299999959
Nigeria,2014,53.65509121,52.94294238,0.7121488300000038
Nigeria,2015,53.91795965,53.29903102,0.6189286299999992
Nigeria,2016,54.1266879,53.65459041,0.472097490000003
Nigeria,2017,54.37820927,53.97600552,0.4022037499999982
Nigeria,2018,54.6540308,54.30115822,0.3528725800000032
Nigeria,2019,54.95370169,54.67803418,0.2756675100000052
Nigeria,2020,54.75575363,54.34486879,0.41088484000000136
Nigeria,2021,54.99447402,54.90533296,0.08914105999999578
Pérou,2000,66.12821024,64.7143328,1.4138774400000074
Pérou,2001,66.63943974,65.56879669,1.070643050000001
Pérou,2002,66.59831034,65.99517482,0.603135519999995
