Années;Pays;Cancer_thyroïde;Cancer_Estomac;Cancer_Utérus;Cancer_Foie;Cancer_Sein;Cancer_Testicule;VIH/SIDA
2001;Côte d’Ivoire;6.340872726652766;72.42028500094403;11.460318794248549;140.11815896242052;235.11618419779617;2.197141209797076;19644.425545404167
2002;Côte d’Ivoire;6.351294802923647;68.8439257851394;11.337013678983254;135.39361237206523;234.27744411290143;2.0456810337415434;18573.6456633798
2003;Côte d’Ivoire;6.271699296708692;62.79705167744353;10.73671941772612;128.9395419356933;224.69067905733672;1.8796448489886568;17492.635529682408
2004;Côte d’Ivoire;6.3131033249189565;59.26026668155984;10.61137320411449;126.0643968283972;222.55205704259515;1.7435273008042496;16188.93111526546
2005;Côte d’Ivoire;6.398810048392431;57.07947263897871;10.616130501666229;125.30346231677848;222.40947099461476;1.6759935944529267;14042.810772187708
2006;Côte d’Ivoire;6.608127318446349;56.30373300331646;10.817038735444054;128.29665182465197;228.45144653308176;1.6561967296945552;12377.881152641943
2007;Côte d’Ivoire;6.605272208546649;54.53953492302873;10.65945411433508;127.4419342436252;228.6704169962732;1.631664642632391;11096.159126620554
2008;Côte d’Ivoire;6.67090123642851;54.25457310107094;10.790704380122463;129.15721962454663;234.07004257986708;1.5970333454100074;9700.770015825768
2009;Côte d’Ivoire;6.529547563539048;52.5795802402439;10.649920994006596;127.26610906369336;231.72389339438;1.5373770412271297;9374.385620422476
2010;Côte d’Ivoire;6.249616355190958;50.09831921977368;10.49692352673688;120.41288926556072;226.9626166230636;1.4211158194779752;9712.838365286296
2011;Côte d’Ivoire;6.324432159951192;50.41675226246112;10.71800938084914;119.83975194150588;234.68671101944207;1.3905460419241704;9099.98309115813
2012;Côte d’Ivoire;6.962732580999382;54.34131628469217;11.521197338491922;131.51409865436526;258.8899377519856;1.520292479703591;8485.609177485985
2013;Côte d’Ivoire;7.599812143447536;58.55926165517244;12.574177637369289;139.54720454144635;290.4162852487394;1.5906607361366296;8066.685555689523
2014;Côte d’Ivoire;7.979716581743986;60.69730502336226;13.123531338750835;142.48671595068728;312.3290519794344;1.633603282229685;7301.602920601488
2015;Côte d’Ivoire;8.679000001725399;64.08109514099635;14.107811483427737;150.43514872549372;346.67588366378845;1.7083156769132308;6584.935809783109
2016;Côte d’Ivoire;9.332696461297546;67.17051624667126;14.942063806808164;157.64057165743642;379.2250980826636;1.791574333667131;5818.838238479923
2017;Côte d’Ivoire;9.790276736751508;69.15657783228839;15.521424795042906;159.0372236015674;408.1681291786242;1.8660748434971368;5031.975145693406
2018;Côte d’Ivoire;10.22863522809547;70.75498196294429;15.89041208103062;162.0345428260631;431.7886302309547;1.9709283698065363;4407.125532245395
2019;Côte d’Ivoire;10.163680708625698;69.95583052799256;15.582120850177306;159.78203509509697;433.0061037272084;2.054237608452515;4074.630205202093
2020;Côte d’Ivoire;10.225826922010809;70.4269813965996;15.676845586539711;162.48933108613036;444.4517003618289;2.1514809024695984;3962.202842929424
2021;Côte d’Ivoire;10.233471198863876;69.97201859191003;15.522735793369115;162.98240424385148;445.34471429368546;2.3288351146255115;3853.0563690352737
2000;Espagne;19.98487652267369;410.722377510053;62.72888736279719;204.60144686388455;446.65355779333174;8.238980363127299;265.27151557439765
